model,RMSE_backtest
ML-HGB,2.5824952516510886
DL-MLP,2.5994982256973835
ML-RF,2.6602514800637596
HoltWinters,2.663967297006018
ML-Ridge,2.70770692802496
Theta,2.725827770935315
AutoTheta,2.725827770935315
DL-NHITS,2.882097724439547
DL-LSTM,3.3554070416192245
ARIMA,3.362580350090282
AutoARIMA,3.4225517089951616
SeasonalNaive,3.5949741091197978
AutoETS,3.7313750178214047
Naive,3.9145661240168272
